id,task,question,moving_radius,eps_final,boundary_norm,perturb_kind,logD_delta,region_width,C_cut,C_smooth,backend,N,rtol,atol,status,solver_status,tcritical_s,tmean_s,tail_s,t_end_s,horizon_s,mass_audit_rel,mass_audit_note,max_C_end,mean_C_end,initial_dry_mass_kg,empirical_dry_mass_ratio_end,perturb_support_dry_mass_fraction,perturb_weighted_dry_mass_fraction,event_bracket_s,batch_wall_s
t1_q4_mov_cur_eps_m150,1,4,True,-0.15,current_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,217091.9206685628,158798.00237248663,58293.918296076125,217091.9206685628,259200.0,0.0001111145872172,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.1238054237603159,0.0875663642458338,0.887430699453464,0.0,0.0,"[217091.25571543648, 217092.25571543648]",385.9890305837616
t1_q4_mov_cur_eps_m100,1,4,True,-0.1,current_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,205063.0692415737,147052.72019486298,58010.34904671073,205063.0692415737,259200.0,0.0001102123349666,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.1221829758443669,0.0875663642458338,0.8892971830923946,0.0,0.0,"[205062.25571543648, 205063.25571543648]",385.9890305837616
t1_q4_mov_cur_eps_m050,1,4,True,-0.05,current_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,193996.0879060064,136083.66312572453,57912.42478028184,193996.0879060064,259200.0,0.0001092854699792,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.1203870188645281,0.0875663642458338,0.8897571215014322,0.0,0.0,"[193995.25571543648, 193996.25571543648]",385.9890305837616
t1_q4_mov_cur_eps_z000,1,4,True,0.0,current_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,183918.6712734305,125889.68387967676,58028.98739375375,183918.6712734305,259200.0,0.0001083535061868,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.118403939735643,0.0875663642458338,0.8902912048951646,0.0,0.0,"[183918.25571543648, 183919.25571543648]",385.9890305837616
t1_q4_mov_cur_eps_p050,1,4,True,0.05,current_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,174839.14034080284,116451.83210196222,58387.30823884062,174839.14034080284,259200.0,0.0001074399485857,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.116225359385826,0.0875663642458338,0.8908973537393657,0.0,0.0,"[174838.25571543648, 174839.25571543648]",385.9890305837616
t1_q4_mov_cur_eps_p100,1,4,True,0.1,current_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,166762.69250813697,107775.7910998321,58986.90140830487,166762.69250813697,259200.0,0.0001065802102623,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.1138473247259526,0.0875663642458338,0.8915692652391856,0.0,0.0,"[166762.25571543648, 166763.25571543648]",385.9890305837616
t1_q4_mov_cur_eps_p150,1,4,True,0.15,current_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,159689.4410407866,99839.74123381726,59849.699806969336,159689.4410407866,259200.0,0.0001058191003477,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.1112719408377289,0.0875663642458338,0.8922951546871613,0.0,0.0,"[159689.25571543648, 159690.25571543648]",385.9890305837616
t1_q4_mov_ini_eps_m150,1,4,True,-0.15,initial_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,230610.4207545807,172608.1361305541,58002.28462402659,230610.4207545807,259200.0,0.0001129569760906,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.1239808233809485,0.0875663642458338,0.8872814697589672,0.0,0.0,"[230610.25571543648, 230611.25571543648]",385.9890305837616
t1_q4_mov_ini_eps_m100,1,4,True,-0.1,initial_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,219634.89461178103,161976.1160020556,57658.77860972541,219634.89461178103,259200.0,0.000112022987622,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.1223985493553321,0.0875663642458338,0.8876437037638927,0.0,0.0,"[219634.25571543648, 219635.25571543648]",385.9890305837616
t1_q4_mov_ini_eps_m050,1,4,True,-0.05,initial_dry_density,none,0.0,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,209597.88471910355,152098.35974441073,57499.52497469282,209597.88471910355,259200.0,0.0001111060336124,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.1206495992522501,0.0875663642458338,0.8880750124217875,0.0,0.0,"[209597.25571543648, 209598.25571543648]",385.9890305837616
